samp_name,sampleID,db_name,metric,value
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,mean_consistency,0.9996778152378716
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,mean_multiplicity,1.000634026065516
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,mean_entropy,3.8694159468694695e-4
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,mean_confidence,0.9997904750722644
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,n_total_classified_reads,15283
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,n_reads,14181
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,pct_of_classified_passing,0.9278937381404174
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,seq_depth,5925064
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,percent_classified,0.00257938142102768
ABBY_001-M-20170607-COMP_gtdb_207_unfiltered,ABBY_001-M-20170607-COMP,gtdb_207_unfiltered,percent_passing,0.00239339186884732
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,mean_consistency,0.8415646686514883
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,mean_multiplicity,1.882931699328492
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,mean_entropy,0.4057581989274441
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,mean_confidence,0.7910666560917088
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,n_total_classified_reads,1624775
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,n_reads,689010
ABBY_001-M-20170607-COMP_pluspf,ABBY_001-M-20170607-COMP,pluspf,pct_of_classified_passing,0.4240648705205336
